Love,Good,Hate
Modern Family,Friends,Hacks
The Office (US & UK),The Marvelous Mrs. Maisel,Veep
Murderville / Murder in Successville (US & UK),The Sopranos,The Good Place
No Activity (US & UK),How I Met Your Mother,Happy Endings
Mad Men,30 Rock,Ted Lasso
The Mick,Fleabag,Stranger Things
It’s Always Sunny in Philadelphia,Brooklyn Nine-Nine,The Umbrella Academy
Arrested Development,Superstore,
Parks and Recreation,Abbott Elementary,
Community,Mindhunter,
Curb Your Enthusiasm,Game of Thrones,
Barry,The Boys,
Fargo,Malcolm in the Middle,
The Penguin,Good Omens,
True Detective,,
Breaking Bad,,
Family Guy (early seasons),,
South Park (early seasons),,
Ugly Americans,,
Rick and Morty,,
BoJack Horseman,,
Archer,,
Futurama,,
Scrubs,,
